,REVIEW,SENTIMENT
0,花王的确实不错，一直用这个牌子,0.9983453750610352
1,哈哈哈哈，真心不错的啊。没有异味，非常非常的柔软，吸收量很大，并且不起球，大品牌值得信赖，物流很快，辛苦啦！,0.9891738891601562
2,还不错，吸水性很不错，凑单买的价格还是比较实惠,0.9987622499465942
3,囤货中，东西很好！先买了NB和S的，出月子会继续买大号的！包装非常好！两包分开包装！一点都没有压倒！！,0.9964559674263
4,   感觉跟实体店买的不一样，打开有一股很大的味道，贴的地方做的不平有时会印到小孩，其他还好,0.5243598818778992
5,一般都给孩子用花王的，质量和u版相比有点区别～,0.006599211134016514
6,屁屁干爽~~~ ,0.0417930968105793
7,东西已经收到了，用上了，谢谢,0.9864040613174438
8,搞活动买的很合算，一直用这个暂时没啥问题，希望一直保持质量！,0.9978887438774109
9,宝宝是花王的忠实粉丝，宝宝屁屁不红，吸水性和透气性都很好，很好用，天猫超市送货也很快！,0.9987970590591431
10,有尿湿显示   质量很不错，很柔软，很舒服,0.9965864419937134
11,比较大，不漏尿，晚上戴着比较合适,0.39656296372413635
12,比实体店便宜多了   物超所值   特意用了几天来评价    挺好的   没有像差评上说的那样  总算放心了   以后会经常来的,0.9977082014083862
13,   第一次买，相信京东。物流先赞一个，昨天买，今天到。,0.9918352365493774
14,   第一次买帮宝适，不知道是真的假的，感觉非常差，一点都不好爽，尿一次用手摸都感觉潮湿，也不透气。,0.019583072513341904
15,第一次用好奇  感觉还不错  比花王薄点,0.9974930286407471
16,抢到400-200券，好划算，一直用的铂金装，这次尝试下金装用，宝宝出生一直用好奇，比较信任这个品牌，这次又凑单推荐给了亲戚家，很好，半价入手，她很满意。产品不错哦，很满意，超级喜欢，必须必须好评！客服态度也很好，解答问题速度快，服务水平很高，当然要表扬一下啦！发货速度快，这点值得赞一下。最后，综上所述，本人感觉产品很棒，可以给好评，不要骄傲哦，希望卖家再接再厉，不断推出更加优惠的活动，一定会一直关注的，有机会价格合适的话，一定会回购。,0.9992708563804626
17, 大品牌 价格便宜 值得信赖 尿不湿很好 宝宝用的   很好用的哦，宝宝一直在用的品牌，非常的信赖，希望一直好下去。。。,0.9981912970542908
18,第一次在天猫超市买东西，发货挺快的，特意拆开看了一下，跟超市的一样，价格比超市便宜的多呢，还送了6包面巾纸，谢谢。,0.9980693459510803
19,还不错，就是有点厚，适合春秋冬天用，夏天还是选择薄点的宝宝舒服,0.9987877011299133
20,正品，孩子用了特舒服，不漏水,0.9694026708602905
21,一直用花王，很少有红屁屁,0.2439139485359192
22,外包装底部竟然开了一个扣子，难道这样验货？好在里面包装没破，打开里面感觉比之前购买的80+8更薄，还会有点小漏的感觉，没有之前好，价格还这么高，如果不是要快，也不会直接从京东超市买，郁闷。,0.0034025656059384346
23,以前买完东西都是让系统默认收货，也没认真去写评价。最近才知道吃了亏了，已是两个黄钻的买家，现在都还不是超级会员。听说认真写评价满80个字以上就能涨淘宝值，那就试试看吧。以上几句是客套话，下面才是此产品的真实评价：趁着做活动第三次入手囤货，跟实体店比起来，真的价格很美丽，进口的却比实体店国产花王便宜40多块钱一袋。。。,0.9828768372535706
24, 尿不湿很好  尿完有味道，不知道什么东西，后来改用妈咪宝贝了，只是好在她很超薄,0.9756346344947815
25,特别棒的商家，质量好，超薄好用，宝宝用着还没有红屁屁，赞一个。,0.9987403750419617
26, 是正品宝宝用的值得信赖  一直用的这个，都好几十箱用掉了。,0.9984325766563416
27,不红屁股 贴身舒适 透气性好 比其他便宜 不漏尿  是正版的，很好。,0.8657810688018799
28, 快递给力还不错  一直用这个牌子的东西，质量可靠！,0.9988858103752136
29, 味道大，很硬，比超市的硬,0.9987429976463318
30,超级好用，也很透气，宝宝穿上不会侧漏,0.9968307614326477
31,开起来是正品。跟实体店的价钱差不多。屯货中，等宝宝出生在来追评。。。,0.41431406140327454
32,真的不错 我一直很相信京东的品质 果然不一般么么哒 真好,0.9973224997520447
33,很划算，好号好 ,0.9964338541030884
34,"不错以前几乎都没有认真评价过 不知道浪费了多少积分 听说评价超过一百字有送积分 这个福利简直是太棒了太赞了超级，超级赞 以后每条都认真评价下赚积分 很喜欢到天猫超市购物 超值 又 方便 翻牌福利更是超级赞一分钱可3以买到你意想不到的东西 天天没事儿就上来逛逛 看到自己需要的就买买买 挺不错的,方便快捷，比家里这边的店里便宜多了，活动又多,都不用再去实体超市啦！可省不少钱呢.商品生产日期新鲜,推荐购买,每次都是次日达，买什么都不会耽误，关键是东西有保障，不怕买到假货,全家都十分满意，以后还会经常光顾的,赶上促销活动买了很多，太超值了。",0.9989504218101501
35,第一次用好奇，大品牌就是不一样，比我之前买过的纸尿裤好太多，算是我买过最好的一款了，以前用过花王、大王、尤妮佳、这三个日本牌子就一个字厚，当然也有它的优点，米菲我家宝宝用了红屁股，宜婴、优赋、这些小牌子感觉一般，先说说环腰跟魔术贴跟我买过的纸尿裤都不一样，这也是我老公说的，不嘞腰跟大腿，吸尿性能好，导尿也可以不会就前面一坨，够薄很透气，没有红屁股也没有过敏现象，高腰的也不漏尿，性价比还可以用完还会回购，以后就用这个牌子了。,0.9913517236709595
36,透气性好 非常柔软 吸水性强   抢购的，很合适哦,0.9974896907806396
37,一直在京东上买宝宝用的所有东西，不错,0.9977326393127441
38,第一次在京东买花王的纸尿裤，摸着有颗粒状的东西，不知道是不是正品,0.08122064173221588
39,宝贝收到了，没想到双十一发货也这么快，还有包装好结实，一层纸箱又一层纸箱，真的很不错，等宝宝生了就派上用场了！必须好评！,0.9955086708068848
40, 不红屁股 非常柔软 宝宝用的 贴身舒适   正品，宝宝用起来很不错,0.994377076625824
41,好用，价格实惠值得购买，发货速度很快，很柔软舒适，很服帖,0.9985982775688171
42, 还可以穿脱方便  一直用好奇，拉拉裤穿脱方便。,0.9615286588668823
43,孩子越来越大，想着试试拉拉裤，正好赶上好奇价格蛮合适的，试一下，没想到还真不错，挺轻薄的，很柔软，腰部不勒，孩子活动很方便，比尿不湿更贴合,0.8391745090484619
44,是正品，质量很好，用得放心,0.9990707039833069
45,之前用过几个牌子，后来看电视看到这个牌子，试一下，结果真的很好用，小码大小刚好，别的牌子码数偏大了。很棒，下次再囤货。,0.9987154006958008
46,很好用，价格给力，没有起坨坨，也不漏尿，也没有气味，,0.9857535362243652
47, 非常满意是正品价格便宜  做活动买的，性价比很高,0.9989008903503418
