5,一般都给孩子用花王的，质量和u版相比有点区别～
14,   第一次买帮宝适，不知道是真的假的，感觉非常差，一点都不好爽，尿一次用手摸都感觉潮湿，也不透气。
22,外包装底部竟然开了一个扣子，难道这样验货？好在里面包装没破，打开里面感觉比之前购买的80+8更薄，还会有点小漏的感觉，没有之前好，价格还这么高，如果不是要快，也不会直接从京东超市买，郁闷。
24, 尿不湿很好  尿完有味道，不知道什么东西，后来改用妈咪宝贝了，只是好在她很超薄
29, 味道大，很硬，比超市的硬
38,第一次在京东买花王的纸尿裤，摸着有颗粒状的东西，不知道是不是正品
59,   宝宝一用就捂出像痱子一样的东西，2小时一换都不行，以前用过帮宝适都不会这样，是不是假货不知道，但宝宝用的不好
76,和我之前买的不一样，做工不好，太假了，货运也慢，还不能退换
84,没有红屁股，但里面确实有棉絮，也有轻度堆的现象。
88,堂堂京东自营，也卖假货，尿不湿散发一股浓重的劣质塑料味道，跟我买的实体母婴店的货完全不一样，京东卖的要薄，实体店要厚，实体店的没有味道，且实体店卖的尿不湿上的有兔子的地方跟包装上的一样，都是一个趴着的兔子，而京东卖的包装上的兔子跟实体店卖的一样，但是里面尿不湿上的兔子就只剩和兔头，估计京东卖的极有可能是假货，请谨慎购买，严重鄙视京东自营！！！！！
93,送货很迅速，但是用了几片之后宝宝大腿内侧出现过敏一样的红疹，看着特别心疼。马上停用。改换了进口商店买的花王S号，目前红疹情况正在好转。
104,一直听说京东真真假假混着卖 这次不幸降临在我身上 小孩从出身到现在14个月 基本一直在京东自营买尿布 这次买到的尿布塑料味很重 小孩pp两侧起红点 问客服还说正常的 这破尿布让刘抢东女儿去用用 还正常 正你妹啊正
108,   发的旧包装，不喜欢
109,帮朋友买的，买过那么多箱了，这是包装最烂的一次！
110,作为一个十一个月宝宝的妈妈，这款纸尿裤实在太差了，以前觉得帮宝适的广告打的很好，而且一直在打广告，深入人心，觉得纸尿裤，可以选择它，但是用了以后觉得，他的钱都用来打广告了，实在是没有用在产品上，起坨.疙疙瘩瘩的。尿一泡尿就厚厚的，一点也不好。这是我宝宝尿了两泡尿，旁边的那个吸水珠珠，都出跑出来了
117,不好，差评，孩子用了这个纸尿裤红屁股了，心疼坏我了，以后不用好奇的了
119,超不好！吸水行性极差
120,东西收到，还没有使用，过一个星期再来评价，希望不会红屁股
122,一直在用，天热了是不是感觉有点厚
128,没有红小孩屁股
130,吸收效果太差，小孩总是打湿裤子，一天换很多条裤子
139,一直怀疑是假货，一直不愿意相信是假的，可是才用了两天，漏尿了四五次，才拉第二次尿，整个网面都是湿的，一点不干燥，有几个尿裤还起坨严重我不介意，但是吸水性这么差真的很失望～这是铂金装啊～
141,收到的的纸尿裤的外包装是破损的，还好里面没破。东西还没用下月预产期，用过之后再来追评。
142,尿布用完了才来评价也忘记拍照片了。铂金装和金装分两次各买了两箱。铂金装比金装多了透气孔，使用体验差不多。奇怪的是前两箱用完没有什么特别不好的印象，但是后两箱开始漏屎漏尿，我换的比较勤，没用尿满再换，有时候就一点尿也会漏，便便也是一点都漏，搞得衣服都洗不及。有两包还会漏晶体，换尿布时屁屁上有吸水珠珠。好奇的纸尿裤手感还行，但是通病是太厚 尿液吸收不均匀前面都很饱了后面还是干的。想着大品牌还天天做广告试用结果有些失望。
145,感觉是假货，宝宝用了屁屁红红的
155,不是太好，有点漏尿
158,尿裤到是柔软，就是宝宝用了又起坨又漏屎还漏尿。
162,差评！起坨严重，用了这个尿不湿之后终于知道啥叫起坨了！宝宝尿湿以后就变成一大坨，直接挨着皮肤了！进口产品和原装进口的果然不一样，看来以后还得买原装进口的。
170,首先说明一点，我家宝宝从出生就一直使用帮宝适超薄干爽纸尿裤，一直挺好，孩子大了爱动，纸尿裤的魔术贴总是喇孩子大腿根，所以给孩子换了帮宝适超薄干爽拉拉裤。没想到拉拉裤我家宝宝用了从一开始穿上就屁屁潮，跟客服咨询说让我每两个小时更换一次，可是我家宝宝是穿上就屁屁就开始潮，无论尿没尿，更别提他们所谓的干爽12小时，我说退货或者换货，客服说要有外包装箱，可因为我一直都用帮宝适的纸尿裤，太过信任他们家的材质，所以一回家就把脏脏的外包装箱扔了，所以既不给换，也不给退，后来问题反映到厂家，跟我唠叨半天说给我发三包纸尿裤先用着，无奈只能答应，没想到我这边正耐心等待厂家发货，厂家却告知我缺货，要一个月之后才能发货，我就奇怪了，我买纸尿裤就不缺货，你们给我所谓的补偿纸尿裤就缺货啦？这么大的宝洁公司就是这样应付消费者的吗？除了这个事情之后，我问了周围的好多宝妈，都说帮宝适的拉拉裤孩子用了就是潮屁屁，我买的6包拉拉裤就这么扔了，在这里说这么多提醒想买的宝妈，如果想用帮宝适拉拉裤千万慎重，先买一小包试试，如果你家宝宝不潮屁屁再多买吧，否则像我一样4百块大洋打水漂不说，宝宝用着也难受。
175,第二次买了 感觉挺好的 挺能吸的而且挺薄的还不漏尿
178,第一次来苏宁易购，搞活动248拍下到付的，想不到收到货第2天又降了245，东西收到时纸箱有折开的印迹，里面纸尿裤的包装袋有扯破了一个小洞，当时业务员已经走了，我当时是想这么大一个公司所以放心的没折包检查，想不到却是这样的服务态度，心里不舒服。
187,拉拉裤穿起来方便，宝宝越大越调皮，尿不湿容易松，19斤，75cm，穿L有点紧，换XL了
193,不知道是不是双11买的原因，送货慢可以理解，但是纸尿裤外包装有点破损就不太能理解了，不过不影响使用所以也就算了，不过好的包装看起来心情愉悦也会让人觉得备受尊重
194,  这是在京东买的纸尿裤质量最差的一次，一泡尿就扭在一起了，没有导尿的，鼓鼓的，不会再买了，后悔买这么多
197,宝宝九个月17斤，买了xl有点大了，不过也挺好的，喜欢腰围不太紧。听一个宝妈说好奇的拉拉裤很厚，我差点就拒收退货的，想想买都买了，只是听别人说，自己又没见到实物到底怎么样，结果拿回来还是不错的，不厚呀，第一次用拉拉裤感觉不要太好噢，宝宝大些了喜欢动啊翻滚的，包尿不湿简直要费九牛二虎之力，现在好了拉拉裤像个小内裤，一下子就穿上啦！太棒啦
198,快&amp;#39;质量一般吧&amp;#39;同样的码数比其他牌子小&amp;#39;&amp;#39;
200,还不错哦，但是会结块，表面会起球！
201,第一次用银装，还是不如金装吸水性好，柔软度还可以！
211,这次非常不满意一次购物，外包装完好，可以内包装却有个明显是刀划开的大口子，一直都在苏宁用这葛品牌，可是这次很补高兴，这个破损明显实在包装过程中产生的却还给发货
214,吸水性好，内面还是略粗糙，价钱也合适，有点厚，夏天我估计是不会选用了
221, 外包装只有一层薄膜，极容易破损，其他都满意。中评！
228,还不错，不会闷屁股，但腰围部分有点紧。
230,买了两箱，一箱小码，一箱中码的，当时没看清楚，以为是进口的，买回来就放在家里囤着，尿片用完了打开看才知道是国产的，真的超级不好用，宝宝屁股会阴都红了，虽然没有烂，可是宝宝皮肤那么嫩，看着心痛啊，不敢再用了，又不能退，这样的尿片，剩下的都不敢送人
235,不会再买花王了。良心评价，用过尤妮佳，好奇铂金装，金装。唯独这次买的花王质量最差，是我用的所有的尿不湿最不满意的，还厚得很。外面的料子感觉像塑料一样。很次的感觉！整整一包都不想用了。哎！！！
236,一直用的好奇 质感很好 也不会换别的了 心砖有活动可以试试
237,质量很差，粘扣没一会就掉了，没法用！
241, 穿脱方便 透气性好 不勒屁股 适合大宝宝   用的蛮不错的，一直用，只是我家宝宝太胖了，用这个号有点偏小了、、、、
244,这玩意最坑人了，小到几乎找不到，直接扔了
249,赠送品，宝宝没怎么用，有点紧。
252,一般吧，价格还是有些偏高，不知道是不是正品。。。。
254,第一次在京东买花王尿布湿，从孩子出生到现在整整2周年，第一次买到这么次的花王，而且还第一次在京东购买。我很少给人差评，但这次真的是火大了。第二天货就送到了，昨天开袋用紫外线手电扫描看见有清晰编码，心里就踏实了，晚上就试用了一个，今早小屁屁就出红点，还漏尿。以后不再上京东买了，失望透顶！
256,买过三次了，前两次的都很好，这次明显是假的，尿显晕染，有味道，硬，屁屁不干爽，真假掺着卖的，一直挺相信天猫国际的，没想到还有这样的，失望，不会再买了，真假靠运气
266,不知道是不是买多了就假了
